Driver,HAM,BOT,VER,LEC,VET,SAI,GAS,ALB,RIC,PER,NOR,RAI,KVY,HUL,STR,MAG,GIO,GRO,KUB,RUS
Australia,2,1+FL,3,5,4,DNF,11,14,DNF,13,12,8,10,7,9,6,15,DNF,17,16
Bahrain,1,2,4,3+FL,5,19,8,9,18,10,6,7,12,17,14,13,11,DNF,16,15
China,1,2,4,5,3,14,6+FL,10,7,8,18,9,DNF,DNF,12,13,15,11,17,16
Azerbaijan,2,1,4,5+FL,3,7,DNF,11,DNF,6,8,10,DNF,14,9,13,12,DNF,16,15
Spain,1+FL,2,3,5,4,8,6,11,12,15,DNF,14,9,13,DNF,7,16,10,18,17
Monaco,1,3,4,DNF,2,6,5+FL,8,9,12,11,17,7,13,16,14,19,10,18,15
Canada,1,4+FL,5,3,2,11,8,DNF,6,12,DNF,15,10,7,9,17,13,14,18,16
France,1,2,4,3,5+FL,6,10,15,11,12,9,7,14,8,13,17,16,DNF,18,19
Austria,5,3,1+FL,2,4,8,7,15,12,11,6,9,17,13,14,19,10,16,20,18
United Kingdom,1+FL,2,5,3,16,6,4,12,7,17,11,8,9,10,13,DNF,DNF,DNF,15,14
Germany,9,DNF,1+FL,DNF,2,5,14,6,DNF,DNF,DNF,12,3,DNF,4,8,13,7,10,11
Hungary,1,8,2+FL,4,3,5,6,10,14,11,9,7,15,12,17,13,18,DNF,19,16
Belgium,2,3,DNF,1,4+FL,DNF,9,5,14,6,11,16,7,8,10,12,18,13,17,15
Italy,3+FL,2,8,1,13,DNF,11,6,4,7,10,15,DNF,5,12,DNF,9,16,17,14
Singapore,4,5,3,2,1,12,8,6,14,DNF,7,DNF,15,9,13,17+FL,10,11,16,DNF
Russia,1+FL,2,4,3,DNF,6,14,5,DNF,7,8,13,12,10,11,9,15,DNF,DNF,DNF
Japan,3+FL,1,DNF,6,2,5,7,4,DSQ,8,11,12,10,DSQ,9,15,14,13,17,16
Mexico,1,3,6,4+FL,2,13,9,5,8,7,DNF,DNF,11,10,12,15,14,17,18,16
United States,2,1,3,4+FL,DNF,8,16,5,6,10,7,11,12,9,13,18,14,15,DNF,17
Brazil,7,DNF+FL,1,18,17,3,2,14,6,9,8,4,10,15,19,11,5,13,16,12
United Arab Emirates,1+FL,4,2,3,5,10,18,6,11,7,8,13,9,12,DNF,14,16,15,19,17
