GP,Hamilton,Verstappen,Bottas,Perez
Bahrein,1,2,3+FL,5
Emilie Romagne,2+FL,1,DNF,11
Portugal,1,2,3+FL,4
Espagne,1,2+FL,3,5
Monaco,7+FL,1,DNF,4
Azerbaidjan,15,18,12,1
France,2,1+FL,4,3
Styrie,2+FL,1,3,4
Autriche,4,1+FL,2,6
Grande-bretagne,1+S2,DNF+S1,3+S3,16+S20
Hongrie,2,9,DNF,DNF
Belgique,3,1,12,19
Pays-Bas,2+FL,1,3,8
Italie,DNF+S5,DNF+S2,3+S1,5+S9
Russie,1,2,5,9
Turquie,5,2,1+FL,3
Etats-Unis,2+FL,1,6,3
Mexico City,2,1,15,3
Sao Paulo,1+S5,2+S2,3+S1,4+S4+FL
Qatar,1,2+FL,DNF,4
Arabie Saoudite,1+FL,2,3,DNF
Abou Dhabi,2,1+FL,6,15
